Substance(s) active(s),P.Comm,Société,Fabricant
Pyriméthanil,pyrma SC,SHARDA CROPCHEM LIMITED tunisie,SHARDA CROPCHEM LIMITED INDE
Pyriméthanil,PYRUS 400 SC,STEC,UPL
Spiroxamine,PROSPER 300 CS,Atlas agricole,BAYER CROPSCIENCE
Tébuconazole,TEBUNOVA SC,AGRINOVA,SHARDA CROPCHEM LIMITED INDE
Tébuconazole,AZUROS,SLDA,SHARDA CROPCHEM
Tébuconazole,Teson,AMINCO,GLOBACHEM
Tébuconazole,SUPREME 25 EW,COTUGRAIN Impex,UPL LIMITED
Aminopyralydes + Florasulam +2.4 D EHE,Nikos forte,ATLAS AGRICOLE,Dow Agrosciences/CORTEVA
Bentazone,BENTA SL,EL KHADRA,"NANJING FENGSHAN CHEMICAL GROUP CO,LTD/NANGIN G FENGSHAN"
Bentazone,BASASTAR SL,AGRIPLUS,"NANJING FENGSHAN CHEMICAL GROUP CO,LTD"
Bentazone,Basagran,STIMA,BASF
Bentazone,BENTAPROTEKT SL,LIEN AGRICOLE,ANHUI ZHONGSHAN CHEMICAL(fabriqué)/chine(protektingphytosanitary/Espagne(dist)
Bentazone,fighter,cotugrain,BASF
Bentazone,RAINZONE EC,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD CHINE
Bentazone,BENHUR SL,PROTAGRI,NANJING AGROCHEMICAL
Clethodim,FYTODIM EC,FERTITECH,TOPAGRO BIOSCIENCE
Cléthodim,CLETHODIM EC Sous reserve de changement de nom,TASMID,PSYCHE M CHEMICALS LIMITED
Clopyralid,clopryd 30 SL,SLDA,Sharda cropchem
Cycloxidime,Focus Ultra,STIMA,BASF
Fénoxaprop-P-Ethyl,Foxtrot,AGROSYSTEMES,FMC
Fénoxaprop-P-Ethyl +Iodosulfuron-Méthyl Sodium +Méfenpyr - diéthyl,Puma Evolution,JADWA AGROTEC,BAYER CROPSCIENCE
Fénoxaprop-P-Ethyl +Iodosulfuron-Méthyl Sodium +Méfenpyr - diéthyl,HUSSAR EVOLUTION,AGRIPROTEC,BAYER CROPSCIENCE
Florasulam +Iodosulfuron-méthyl-sodium +Diflufénican,JOYSTICK WG,AGROSYSTEMES,ASCENZA AGRO
Florasulam +tribenuron-methyl,GRANSTAR MAX WG,AGRIPROTEC,chenminova/FMC
Florasulame,Clyde SG,AGRIPROTEC,ALBAUGH EUROPE SARL
Glyphosate,Glycel,AGRIMATCO,excel crop care/Sumitomo chemical
Metrobromuron,PROMAN,NEGANOR,belchim crop protection
Oxyfluorfene,Goal,promochimie,HANGZHOU NUTRICHEM/s
prometryn,gesagard 500 FW,bioprotection,syngenta crop protection
Propaquizafop,PRODIGE,FERTITECH,SHARDA CROPCHEM LIMITED INDE
Capsaicine +Ally Isothiocyanate,Dazitol,EL KHADRA,CHAMPION MILLENIUM CHEMICALS
Fluopyram,VELUM PRIME 400 SC,ATLAS AGRICOLE,BAYER AG
Garlic extract,NEM guard SC,STIMA,Ecospray limited
Oxamyl,Vydate GR,AGRIMATCO,DUPONT
Brodifacoum,Broditop wax block,ETS MEZGHANI,ZAPI SPA
Brodifacoum,Klérat,AGRIPROTEC,SYNGENTA
Brodifacoum,Raticide detia,STIMA,DETIA
Difenacoum,SOREXA PELLETS,AGRIPROTEC,BASF
Acide gibberellique,Aminogibb,AMINCO,GLOBACHEM
Acide gibberellique,progibb 40 SG,BIOPROTECTION,VALENTBioscience / SUMITOMO
Acide gibberellique,Fitogib,BIOPROTECTION,NUFARM
Acide gibberellique,GIB GRO,BIOPROTECTION,NUFARM
Acide gibberellique,Giberkey,ETS MEZGHANNI,IndustrialQuimica Key
Acide gibberellique,Protagibb,PROTAGRI,United Phosphorus
Acide gibberellique,Berelex 40 SG,SEPCM,CHEMICAL Agro Europe
Polyoxyethylene amine,PHYDEAL SL,FERTIPLANT,SDP/France
Proteines hydrolysées,BIOBAIT,BIOPROTECTION,BIOIBIRICA
Proteines hydrolysées,FLYRAL,AGRIPROTEC,BIOIBIRICA
Sodium lauryl ether sulfate (SLES),Biopower SL,ATLAS AGRICOLE,BAYER AG
Fluazaindolzine,SALIBRO 500 SC,AGRIPROTEC,CORTEVA
Acetamiprid + pyriproxyfen,CANVION310 DC,COTUGRAIN,Syngenta Crop Protection
"Bacillus thuringiensis (spKurstaki),souche ABTS-351",touta stop WP,ets mezghani,industrial quimica key
Cyantraniliprole +Acibenzolar-S-methyl,PLESIVA ALPHA SC,BIOPROTECTION,SYNGENTA
Cypermethrine,CYPGOLD 500 EC,EL MOUSSEM,ARYSTA LIFESCIENCE
Cypermethrine,CYRUX,PROTAGRI,UPL
Cypermethrine,Belem 0.8 MG,SEPCM,SBM FORMULATION/ CMPA
Azoxystrobine,Cayen 500 WG,RAYEN PHYTAGRI,SHARDA
Azoxystrobine,SINSTAR SC,SANABEL AGRO,SINON CORPORATION
Azoxystrobine,Globaztar 250 SC,AGROSYSTEMES,Globachem
Azoxystrobine +Difenoconazole,FULL TOP SC,NEGANOR,JIANGYIN SULI CHEMICALCO
Azoxystrobine +Difeconazole,PRIORI GOLD 250 SC,SOLAGRI,SYNGENTA Crop Protection
Azoxystrobine +Epoxiconazole,TAZER XPERT SC,el moussem,NUFARM
Azoxystrobin + Flutriafol,CURAX EXTRA SC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM
Azoxystrobin + Flutriafol,CURATEX EXTRA SC,FERTITECH,SHARDA CROPCHEM
Captane,FILDER,EL MOUSSEM,ARYSTA LIFESCIENCE/UPL
Captane,Captan 83 WP,AGRIPROTEC,ARYSTA
Chlorothalonil +Tebuconazole,Tiger,EL MOUSSEM AGRICOLE,PARIJAT INDUSTRIES
Chlorothalonil +Tebuconazole,CAMARO COMBI SC,RAYEN PHYTAGRI,PARIJAT INDUSTRIES
Chlorothalonil +Tebuconazole,Timpani,EL MOUSSEM AGRICOLE,NUFARM
Cyflufenamid,CONFIRM 5 EW,EL MOUSSEM,NIPPON SODA/ Nisso Chemical Europe GmbH
Cyproconazole,Xpert WG,EL KHADRA,Sharda
Cyproconazole +Azoxystrobin,Priori Xtra,SOLAGRI,SYNGENTA
Cyproconazole +Propiconazole,WINTER 41 EC,AGRIMED DISTRIBUTION,SHARDA
Cyproconazole +Propiconazole,TAZOLE 410 EC,EXCEL AGRI,SHARDA
Epoxiconazole,Nupoxyn,EL MOUSSEM AGRICOLE,NUFARM
Epoxiconazole,ceriazole SC,agriprotec,NUFARM
Epoxiconazole,Orage,SANABEL AGRO,SINON CORPORATION
Epoxiconazole+Fluxapyroxad(xemium),ADEXAR XTRA EC,STIMA,BASF
Famoxadone + Mancozebe,Clip,AGRIMATCO,DU PONT INTERNATIONAL/corteva
Famoxadone +cymoxanil,VENUS WG,STIMA,"Shengnong Pesticide,"
Iprodione,Driza WG,EL KHADRA,INDSUTRIAS
Mancozébe,MANCOFLASH,RAYEN PHYTAGRI,INDOFIL
Mancozèbe,Triziman 80,AGRIPROTEC,UPL
Mandipropamide +Difenoconazole,CARIAL TOP,BIOPROTECTION,SYNGENTA
Mandipropamide +Mancozebe,amphore gold WG,SOLAGRI,SYNGENTA
Mandipropamid+ Oxathiapiprolin,ORONDIS ULTRA280 SC,Cotugrain,Syngenta Crop Protection
Mefentrifluconazole +Fluxapyroxade,VERYDOR,COTUGRAIN,BASF
Oxathiapiprolin +famoxadone,Zorvec encantia SE,EL BARAKA,CORTEVA
Penconazole,Topenco 100 EC,AGROSYSTEMES,GLOBACHEM
Penconazole,BuckleR,AMINCO,GLOBACHEM
Penthiopyrad,KABUTO,EL MOUSSEM,"Mitsui Chemicals Agro,Inc"
Propamocarbe +Fosethyl-Al,Filex Energy,ATLAS AGRICOLE,BAYER CROPSCIENCE
Propamocarbe +Fosethyl-Al,Previcur Energy,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
Propiconazole,syterna EC,ets mezghani,fengdeng usa
Propiconazole,VALEO 25 EC,delta agricole plus,Sharda cropchem
Propiconazole,TIFO 25 EC,FERTIPLANT,Sharda cropchem
Propiconazole,Tilt 250,BIOPROTECTION,SYNGENTA
Propinèbe,Antracol,PROMOCHIMIE,BAYER CROPSCIENCE
Prothioconazole +benzovindiflupyr(SOLATENOL),CERATAVO ERA,BIOPROTECTION,SYNGENTA
Prothioconazole + Trifloxystrobine,Madison 263 SC,SEPCM,BAYER CROPSCIENCE
Prothioconazole +Tebuconazole,PROTECT PLUS EC,EXCEL AGRI,SHARDA CROPCHEM
Prothioconazole +Tebuconazole,Perfecto EC,SHARDA CROPCHEM tunisie,Sharda Cropchem
Prothioconazole +Tebuconazole + Spiroxamine,Cello,AGRONOMIC Land,BAYER CROPSCIENCE
Prothioconazole +Tebuconazole+Bixafen,SKYWAY XPRO EC,PROMOCHIMIE,BAYER AG
Tébuconazole,SPEEDY SC,EL KHADRA,NINGBO SUNJOY AGROSCIENCE INDUSTRY/Cropidea
Tébuconazole,Horizon 250 EW,PROMOCHIMIE,BAYER CROPSCIENCE
Tébuconazole,TEBUZOL 25 EW,Agriprotec,UPL LIMITED
Tebuconazole +Prochloraz,Mystic Pro,AGRIPROTEC,NUFARM SAS
Tebuconazole +Prochloraz,Winner,BIOPROTECTION,NUFARM SAS
Cléthodime,Select Super,BIOPRO,Non spécifié
Pinoxaden +Cloquintocet-méxyl,Axial pratic,BIOPROTECTION,Syngenta
Deltaméthrine,Delta Decis EC 25,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
Deltaméthrine,Deltacal,BIOPROTECTION,ARYSTA LIFESCIENCE
Deltaméthrine,Fruithrine,PROTAGRI,United Phosphorus Ltd
Azoxystrobine,LEGADO 250 SC,EL KHADRA,INDUSTRIAS AFRASA S.A
Azoxystrobine + Chlorothalonil,Priori Opti,BIOPROTECTION,SYNGENTA
Azoxystrobine + Cyproconazole,DOUBLE FORCE,SANABEL AGRO,SHARDA
Azoxystrobine + Difénoconazole,AZ-TOP,SLDA,Sharda cropchem limited
Captane,MITANE,SOCOOPEC,SHARDA
Captane,PROTHANE,DELTA AGRICOLE PLUS,SHARDA
Captane,CAPITOL 80 WG,AGRONOMIC Land,SHARDA
Captane,Captan 83 WP,AGRIPROTEC,ARYSTA LIFESCIENCE
Captane,Akotan 830 WP,SEPCM,ARYSTA LIFESCIENCE
Chlorothalonil +Metalaxyl –M,ARIS GOLD,COTUGRAIN IMPEX,SYNGENTA
Cyproconazole + chlorothalonil,CHAMPION,SOCOOPEC,SHARDA CROPCHEM
Cyproconazole + chlorothalonil,CYCLONE,SANABEL AGRO,SHARDA CROPCHEM
Cyproconazole + Propicinazole,Menara 410 EC,AGRIPROTEC,SYNGENTA
Cyproconazole + Propicinazole,TAZOLE 410 EC,AGRONOMIC Land,SHARDA
Cyproconazole + Propicinazole,TWIST SUPER EC,ATLAS AGRICOLE,SHARDA
Cyproconazole + Propicinazole,WINTER 41 EC,AGRIMED DISTRIBUTION,SHARDA
Cyproconazole + Picoxystrobine,Acanto plus,SEPCM,DU PONT INTERNATIONAL
Cyproconazole + Picoxystrobine,STINGER SC,ATLAS AGRICOLE,DU PONT INTERNATIONAL
Cyprodinil,Unix 50 WG,EL MOUSSEM AGRICOLE,SYNGENTA
Epoxiconazole,Opus,STIMA,BASF
Epoxiconazole,Soprano,SEPCM,AAKO
Epoxiconazole,Scooby doo,AMINCO,GLOBACHEM
Epoxiconazole,Spike,AGROSYSTEMES,GLOBACHEM
Epoxiconazole,Eponeo,AMINCO,Cheminova
Flutriafol + Thiabendazole,Vincit F,AGRIPROTEC,CHEMINOVA
Mandipropamide + Chlorothalonil,Carial Opti,BIOPROTECTION,SYNGENTA
Propiconazole,BANNER EC,AGRIPLUS,HEBEI VEYONG BIO-CHEMICAL CO.LTD
Propiconazole + Cyproconazole,Alto super,BIOPROTECTION,SYNGENTA
Propiconazole + Tebuconazole,Collosal Pro,EL KHADRA,AUGUST JSC
Prothioconazole +Tebuconazole,Kestrel 240 EC,JADWA AGROTEC,BAYER CROPSCIENCE
Tebuconazole,Mycoseeds FS 60,EL KHADRA,Sharda World wide
Tebuconazole,SONG EC,ATLAS AGRICOLE,SIPCAM INAGRA
Tébuconazole,Matiz,SANABEL AGRO,ROTAM AGROCHEMICAL
Tébuconazole,METROSTAR SC,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY
Triadimenol + Spiroxamine + Tebuconazole,Falcon 460 SC,AGRONOMIC Land,BAYER CROPSCIENCE
Clodinafop-propagyl +Cloquintocet-mexyl,Navigator,BIOPROTECTION,SYNGENTA
Propoxycarbazon Sodium,Attribut 70 SG,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE
Beauveriabassianastrain R444,Bb-Protec WP,ALOHA Agriculture,Plant Health Products (phy)/Sud d'afrique/Andermatt PHP(Pty) Ltd/ANDERMATT BIOCONTROL GROUP AG
Bifenazate,COMITE 240 SC,BIOPROTECTION,CHEMTURA/AR
Emamectin benzoate,Proact 50 EC,TASMID,ASTRACHEM
Emamectin benzoate,PROFAST EC,PLANETE VERTE,ASTRACHEM/ASTRANOVA
Emamectin benzoate,Proclaim 05 SG,BIOPROTECTION,SYNGENTA
Emamectin benzoate,JEMSTAR,FERTIPLANT,Krishlifescience
Lambda-cyhalothrine,BREAK ME SC,EL KHADRA,AUGUST inc/CORPORATE
Indoxacarbe,Vaulent,TASMID,ASTRACHEM
Azoxystrobine +Cyproconazole,COUGAR SC,PROTAGRI,UPL LIMITED
Azoxystrobine +Difenoconazole,ALLIANCE TOP SC,AGRI PLUS,NANJING AGROCHEMICAL
Azoxystrobine +difenoconazole,Black panther SC,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE
Cymoxanil +Famoxadone,Equation Pro,SEPCM,DU PONT (Taiwan) AGRISCIENCE
Cymoxanil + Métirame de Zinc,BATO,AGRIMATCO,BASF
Cymoxanil + Métirame de Zinc,Aviso DF,STIMA,BASF
Difenoconazole+Cyflufenamid,DYNALI DC,SOLAGRI,SYNGENTA
Difenoconazole + Fludioxonil,DIFEND EXTRA FS,AGROSYSTEMES,Globachem
Dodine,Syllit 400 SC,PROTAGRI,ARYSTA Life Science Benelux / Belgique/UPL
Dodine,Efluzin 400 SC,SEPCM,ARYSTA Life Science Benelux / Belgique/ARYSTA
Fluopyram + Tebuconazole,Moon Experience SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Fluopyram + Trifloxystrobine,Luna Sensation,ATLAS AGRICOLE,BAYER CROPSCIENCE
Kreoxim-methyl,SUGOBY WG,RAYEN PHYTAGRI,"LAINCO ,S,A/ESPAGNE"
Krésoxim-méthyl,QUIMERA WG,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
Laminarin,VACCIPLANT,EL MOUSSEM,GOEMAR SAS/ARYSTA/UPL
Myclobutanil,FLUANCE 125 EC,EL MOUSSEM AGRICOLE,Indofil Industries Limited/ARISTEAS Agro
Oxathiapiprolin +famoxadone,Zorvecencantia SE,EL BARAKA,CORTEVA
Pyraclostrobin +Boscalid,FOXTON 30 SC,AGRIMATCO,"LoatingYoloo Bio-Technology Co ,Ltd/chine"
Promocarb +Cymoxanil,proxanil 450 SC,BIOPROTECTION,arystalifescience
Promocarb +Cymoxanil,Rival duo 450 SC,AGRONOMIC Land,Agria
Prothioconazole + Trifloxystrobine,DELARO DUO SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Tebuconazole,KEYZOL SC,EL KHADRA,AVGUST CROP CORPORATION
Sulfate de cuivre tribasique + Zoxamide,ventaro,STEC,NUFARM
Sulphate de cuivre tribasique,CU MAX,RAYEN PHYTAGRI,DIACHEM S.P.A
Sulfate tetracuivrique tricalcique,Bordocure WG,FERTITECH,ALINTRA
sulfatetetracuivrique tricalcique)+ cymoxanil,CUPERTINE SUPER WP,FERTITECH,ALINTRA ESPAGNE
Tebuconazole,COLOSSALSous réserve de changement de DC,HALAB TUNISIE,AVGUST CROP CORPORATION
Tébuconazole,Corail,PROMOCHIMIE,BAYER CROPSCIENCE
Tébuconazole,TEBUNOVA SC,AGRINOVA,SHARDA
Trichodermaatroviride 77B,T-77 WP,Aloha agriculture,Plant Health Products (phy)/Sud d'afriquePlant Health Products (phy)
Zirame,Thionicautodispers ible,AGROSYSTEMES,TAMINCO/EASTMAN
Fluroxypyr,keynyl herbicide EC,etsmezghani,industrialquimicakey
Fluroxypyr (ester1-methylheptyl),Flurostar 200,AGROSYSTEMES,GLOBACHEM
Fluroxypyr +Clopyralid,VEGA EC,AGRIMED DISTRIBUTION,Non spécifié
Propaquizafop,KIFEN EC,SANABEL AGRO,SHARDA CROPCHEM limited
Propyzamide,PROPYZ,AGRIPROTEC,BARCLAY CHEMICALS Ltd
Propyzamide,PROPER FLO SC,AGROSYSTEMES,Globachem
Abamectine,ROMECTIN EC,AGRONOMIC LAND,"ROTAM CHEMISTRY CO.,Ltd"
Abamectine,VARGAS ULTRA EC,SOLAGRI,"ROTAM CHEMISTRY CO.,Ltd/ALBAUGH"
Abamectine,Vertimec,BIOPROTECTION,SYNGENTA
Abamectine,Diva 1.8 EW,EL MOUSSEM AGRICOLE,CHEMINOVA
Abamectine,ZORO,SSCC,CHEMINOVA/ FMC
Acetamiprid,CAPILAN SL,NEGANOR,AGROW ALLIED
Beauveria bassiana strain ATCC 74040,Naturalis,COTUGRAIN,CBC europe/italie
Chlorantraniliprole +LambdaCyhalothrine,BESIEGE 150 ZC,COTUGRAIN IMPEX,SYNGENTA
Cyflumetofen,DANIRANGER 10DC,AGRIMATCO,OAT AgrioCO.Ltd
Cyflumetofen,VELAR 20 SC,cotugrain,OAT agrio(fab)/Japo(LI
Cypermethrine,SYNCHRO,EL KHADRA,SHARDA CROPCHEM LIMITED INDE
Cypermethrine,SINOCYPER,EL KHADRA,CROPSAVE PESTICIDES INDIAN PVT.LTD
Cypermethrine,CYPRINE,TASMID,CROPSAVE PESTICIDES INDIAN PVT.LTD
Cypermethrine,CYPERNOVA,AGRINOVA,SHARDA CROPCHEM LIMITED INDE
Cypermethrine,CYPGOLD 500 EC,EL MOUSSEM,ARYSTA LIFESCIENCE /UPL
Huile minérale,PetrOil,SOCOOPEC,PETRONAS LUBRICANTS
Huile minérale,Plant oil,STE EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL
Indoxacarb,PIXEL SC,FERTITECH,TOPAGRO BIOSCIENCE
Indoxacarb,POTER,PROTAGRI,NANJING AGROCHEMICAL
Indoxacarb,INDOXAL XTRA WDG,AGRINOVA,AGROBEATS TECH CHINE
Indoxacarb,VEROX WDG,SANABEL AGRO,AGROBEATS TECH CHINE
Indoxacarbe,OXAL SC,NEGANOR,Jingboagrochemicals technologie
Lambda-cyhalothrine,ALLEYA ME,EL KHADRA,AUGUST inc/CORPORATE
Lambda-cyhalothrine,SIAL ME,NEGANOR FFT,AUGUST inc/CORPORATE
Manipropamide +Oxychlorure de cuivre,REVUS C,BIOPROTECTION,SYNGENTA
metarhiziumrileyi strain,Nomu-Protec,ALOHA,ANDERMATT PHP (Pty) AFRIQUE DE SUD
Methoxyfenozide,Runner,PROMOCHIMIE,DOW AGROSCIENCES/ corteva
Milbemectin,Milbeknock,AGRIPROTEC,"Mitsui Chemicals Agro,Inc/summit agro"
Tebufenozide,MIMIC 240 SC,EL MOUSSEM AGRICOLE,NIPPON SODA/Japan
Tefluthrine,VOLTRA 0.5 G,COTUGRAIN,SYNGENTA
Tefluthrine,DIASTAR MAXI GR,RAYEN PHYTAGRI,DIACHEM
Tolfenpyrade,HACHI-HACHI EC,EL KHADRA,SIPCAM INAGRA
Azoxystrobine,Azox SC,Ets MEZGHANNI,"JIANGYIN SULI CHEMICAL CO.LTDi,Q,Key"
Azoxystrobine,AXYTOP 50WG,EXCEL AGRI,SHARDA CROPCHEM INDE
Cuivre,Siscop 60 SC,SEPCM,AAKO BV
Cuivre +cymoxanil,Cuprofix C WG,EL MOUSSEM,UPL
Cymoxanil +Bouillie bordelaise,FESTIVAL WP,RAYEN PHYTAGRI,"LAINCO, S, A/ESPAGNE"
Dithianon +Pyrachlostrobin,MACCANI,COTUGRAIN IMPEX,BASF
Famoxadone +cymoxanil,EQUALIZER WG,RAYEN PHYTAGRI,"Shengnong Pesticide, Co. Ltd/hangzhouTopagro Bioscience"
Famoxadone +cymoxanil,CYMOFLEX WG,PROTAGRI,NANJING AGROCHEMICAL
Fenhexamide,Teldor,PROMOCHIMIE,BAYER CROPSCIENCE
Fenpyrazamine,PROLECTUS 50WG,SEPCM,SUMITOMO CHEMICAL AGRO Europe
Fluxapyroxad +difenoconazole,SERCADIS PLUS SC,AGRIPROTEC,BASF
Fosethyl-Al +Cymoxanil + Folpel,BELKAP EXTRA,AGROSYSTEMES,PROBELTE
Fosethyl-Al +Cymoxanil + Folpel,Anteor flash,ATLAS AGRICOLE,BAYER AG
Krésoxim-méthyl,ALLIAGE DF,AGRIMATCO,BASF
Krésoxim-méthyl,Kresoxystar 350SC,Ets Mezghani,ANHUI HUAXING CHEMICAL INDUSTRY CO.Ltd/CHINE( Nanjing agrochemical
Krésoxim-méthyl,Stroby DF,STIMA,BASF
Mefentrifluconazole,REVYSTAR EC,AGRIMATCO,BASF
Mefentrifluconazole + Pyraclostrobin,REVYCARE EC,AGRIPROTEC,BASF
Pencycuron,Monceren,PROMOCHIMIE,BAYER CROPSCIENCE/GowanCrop Protection
Prochloraze +Triticonazole,REAL SUPER,AGRIPROTEC,BASF
Prothioconazole +Tebuconazole,Prosaro 250 EC,PROMOCHIMIE,BAYER CROPSCIENCE
Pyriméthanil,PYRAMIDE,EXCEL AGRI,SHARDA CROPCHEM LIMITED INDE
Pyriméthanil,pyrma SC,SHARDA CROPCHEM LIMITED tunisie,SHARDA CROPCHEM LIMITED INDE
Pyriméthanil,PYRUS 400 SC,STEC,UPL
Spiroxamine,PROSPER 300 CS,Atlas agricole,BAYER CROPSCIENCE
Tébuconazole,TEBUSHA 6 FS,AGRINOVA,SHARDA CROPCHEM LIMITED INDE
Tébuconazole,AZUROS,SLDA,SHARDA CROPCHEM
Tébuconazole,Konan EW,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
Tébuconazole,SUPREME 25 EW,COTUGRAIN Impex,UPL LIMITED
Tébuconazole +Trifloxystrobine,Nativo 300 SC,STEC,BAYER CROPSCIENCE
Aminopyralydes + Florasulam +2.4 D EHE,Nikos forte,ATLAS AGRICOLE,Dow Agrosciences/CORTEVA
Bentazone,BENTA SL,EL KHADRA,"NANJING FENGSHAN CHEMICAL GROUP CO,LTD/NANGIN G FENGSHAN"
Bentazone,BASASTAR SL,AGRIPLUS,"NANJING FENGSHAN CHEMICAL GROUP CO,LTD"
Bentazone,Basagran,STIMA,BASF
Bentazone,BENTAPROTEKT SL,LIEN AGRICOLE,ANHUI ZHONGSHAN CHEMICAL(fabriqué)/chine(protektingphytosanitary/Espagne(dist)
Bentazone,fighter,cotugrain,BASF
Bentazone,RAINZONE EC,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD CHINE
Bentazone,BENHUR SL,PROTAGRI,NANJING AGROCHEMICAL
Dimethenamid-P+Metazachlor +Quinmerac,BUTISAN AVANT SE,COTUGRAIN,BASF
EthametSulfuron Methyl,MUSTER 75 WG,SSCC,FMC
Fénoxaprop-P-Ethyl,Foxtrot,AGROSYSTEMES,FMC
Fénoxaprop-P-Ethyl +Iodosulfuron-Méthyl Sodium +Méfenpyr - diéthyl,Puma Evolution,JADWA AGROTEC,BAYER CROPSCIENCE
Fénoxaprop-P-Ethyl +Iodosulfuron-Méthyl Sodium +Méfenpyr - diéthyl,HUSSAR EVOLUTION,AGRIPROTEC,BAYER CROPSCIENCE
Florasulam +Iodosulfuron-méthyl-sodium +Diflufénican,JOYSTICK WG,AGROSYSTEMES,ASCENZA AGRO
Florasulam +tribenuron-methyl,GRANSTAR MAX WG,AGRIPROTEC,chenminova/FMC
Florasulame,Clyde SG,AGRIPROTEC,ALBAUGH EUROPE SARL
Glyphosate,Glycel,AGRIMATCO,excel crop care/Sumitomo chemical
prometryn,gesagard 500 FW,bioprotection,syngentacrop protection
Propaquizafop,PRODIGE,FERTITECH,SHARDA CROPCHEM LIMITED INDE
Acide gibberellique,Aminogibb,AMINCO,GLOBACHEM
Acide gibberellique,progibb 40 SG,BIOPROTECTION,VALENTBioscience / SUMITOMO
Acide gibberellique,Fitogib,BIOPROTECTION,NUFARM
Acide gibberellique,GIB GRO,BIOPROTECTION,NUFARM
Acide gibberellique,Giberkey,ETS MEZGHANNI,IndustrialQuimica Key
Acide gibberellique,Protagibb,PROTAGRI,United Phosphorus
Acide gibberellique,Berelex 40 SG,SEPCM,CHEMICAL Agro Europe
Polyoxyethylene amine,PHYDEAL SL,FERTIPLANT,SDP/France
Proteines hydrolysées,BIOBAIT,BIOPROTECTION,BIOIBIRICA
Proteines hydrolysées,FLYRAL,AGRIPROTEC,BIOIBIRICA
Sodium lauryl ether sulfate (SLES),Biopower SL,ATLAS AGRICOLE,BAYER AG
Abamectine,TERVIGO 020 SC,BIOPROTECTION,Syngenta Crop Protection AG
Fluazaindolzine,SALIBRO 500 SC,AGRIPROTEC,CORTEVA
Fluxapyroxad + Pyraclostrobine,PRIAXOR SE,COTUGRAIN IMPEX,BASF
Fluopyram,VELUM PRIME 400 SC,ATLAS AGRICOLE,BAYER AG
Garlic extract,NEM guard SC,STIMA,Ecospray limited
Oxamyl,Vydate GR,AGRIMATCO,DUPONT
Brodifacoum,Broditop,ETS MEZGHANI,ZAPI SPA
Brodifacoum,Broditop wax block,ETS MEZGHANI,ZAPI SPA
Brodifacoum,Klérat,AGRIPROTEC,SYNGENTA
Brodifacoum,Raticide detia,STIMA,DETIA
Difenacoum,SOREXA PELLETS,AGRIPROTEC,BASF
Acetamiprid + pyriproxyfen,CANVION310 DC,COTUGRAIN,Syngenta Crop Protection
Chlorantraniliprole + Thiamethoxam,DURIVO,SOLAGRI,SYNGENTA
Chlorantraniliprole,ALTACOR 35 WG,AGRIPROTEC,FMC
Chlorantraniliprole,COREGIS SC,PROMOCHIMIE,DU PONT/FMC
Cyantraniliprole + Acibenzolar-S-methyl,PLESIVA ALPHA SC,BIOPROTECTION,SYNGENTA
Cypermethrine,CYPGOLD 500 EC,EL MOUSSEM,ARYSTA LIFESCIENCE
Cypermethrine,CYRUX,PROTAGRI,UPL
Cypermethrine,Belem 0.8 MG,SEPCM,SBM FORMULATION/ CMPA
Azoxystrobine,Cayen 500 WG,RAYEN PHYTAGRI,SHARDA
Azoxystrobine,SINSTAR SC,SANABEL AGRO,SINON CORPORATION
Azoxystrobine,Globaztar 250 SC,AGROSYSTEMES,Globachem
Azoxystrobine + Difenoconazole,FULL TOP SC,NEGANOR,JIANGYIN SULI CHEMICALCO
Azoxystrobine + Difeconazole,PRIORI GOLD 250 SC,SOLAGRI,SYNGENTA Crop Protection
Azoxystrobine + Epoxiconazole,TAZER XPERT SC,el moussem,NUFARM
Chlorothalonil + Tebuconazole,Tiger,EL MOUSSEM AGRICOLE,PARIJAT INDUSTRIES
Chlorothalonil + Tebuconazole,CAMARO COMBI SC,RAYEN PHYTAGRI,PARIJAT INDUSTRIES
Chlorothalonil + Tebuconazole,Timpani,EL MOUSSEM AGRICOLE,NUFARM
Cyflufenamid,CONFIRM 5 EW,EL MOUSSEM,NIPPON SODA/ Nisso Chemical Europe GmbH
Cyproconazole,Xpert WG,EL KHADRA,Sharda
Cyproconazole + Azoxystrobin,Priori Xtra,SOLAGRI,SYNGENTA
Cyproconazole + Propiconazole,WINTER 41 EC,AGRIMED DISTRIBUTION,SHARDA
Cyproconazole + Propiconazole,TAZOLE 410 EC,EXCEL AGRI,SHARDA
