Produit_Commercial,Société,Fabricant
Azox SC,Ets MEZGHANNI,"JIANGYIN SULI CHEMICAL CO.LTDi,Q,Key"
COBRE KEY,Ets Mezghani,KEY
Kresoxystar 350SC,Ets Mezghani,ANHUI HUAXING
KEYLAM EC,Ets Mezghanni,ZHEJIANG WELL-DONE CHEMICAL CO.LTD/CHINA D/Industrial quimica Key
KEYLAM EC,EtsMezghanni,Industrial quimica Key
KEYLAM EC,EtsMezghanni,Industrialquimica Key
IMIDOR SC,Excel agri,SHARDA
CUPERTINE SUPER WP,F ERTITECH,ALINTRA ESPAGNE
FS,F.009-14/24,EL KHADRA
SC,F.013-17,RAYEN PHYTAGRI
SC,F.014-20,EL KHADRA
WG,F.024-22,FERTITECH
SC,F.027-17,EL MOUSSEM
EC,F.032-17,ATLAS AGRICOLE
SC,F.037-17,BIOPROTECTION
WP,F.10-23,FERTITECH
SC,F.75-21,STEC
CAPLANT EC,FERTIPLANT,Sharda Cropchem Limited
CAPLANT EC,FERTIPLANT,Sharda Cropchem
CYPERFAN 25 EC,FERTIPLANT,SHARDA WORLDWIDE
DESSICASH 20 SL,FERTIPLANT,SHARDA
EKKA SP,FERTIPLANT,KR Lifesciences Pvt Ltd
Emamectin SG,FERTIPLANT,Krishi rasayam
GLYPHOPLANT 36 SL,FERTIPLANT,Sharda Cropchem Limited
JEMSTAR,FERTIPLANT,Krishi rasayam
JEMSTAR,FERTIPLANT,Krishlifescience
PHYDEAL SL,FERTIPLANT,SDP/FRANCE
PHYDEAL SL,FERTIPLANT,SDP/France
POLYVERSUM,FERTIPLANT,BIOPREPARATY
SHARMINA 720 SL,FERTIPLANT,SHARDA
TEBUSHA 6 FS,FERTIPLANT,Sharda World wide
TIFO 25 EC,FERTIPLANT,Sharda cropchem
ARIANE WG,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE/Chine
BOOSTER SE,FERTITECH,TOPAGRO
BOOSTER SE,FERTITECH,TOPAGRO BIOSCIENCE
Black panther SC,FERTITECH,HANGZHOU
Black panther SC,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE
Bordocure WG,FERTITECH,ALINTRA
CHARISMA,FERTITECH,Sharda Cropchen
CLEANER WP,FERTITECH,HANGZHOU
CLEANER WP,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE
CURATEX EXTRA,FERTITECH,SHARDA
CURATEX EXTRA SC,FERTITECH,SHARDA CROPCHEM
Crystal SC,FERTITECH,HANGZHOU
Crystal SC,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE
DRAGON,FERTITECH,SHARDA CROPCHEM Lt
DRAGON,FERTITECH,SHARDA
DRAGON,FERTITECH,SHARDA CROPCHEM LIMITED INDE
FLOZAME EC,FERTITECH,SHARDA CROPCHEM LIMITED INDE
FYTODIM EC,FERTITECH,TOPAGRO
FYTODIM EC,FERTITECH,TOPAGRO BIOSCIENCE
G A L A X Y,FERTITECH,sharda cropchem
Hidrocure WG,FERTITECH,ALINTRA
LAINCOIL EC,FERTITECH,LAINCO
LAINSECT EC,FERTITECH,LAINCO
P Y R A MIDE,FERTITECH,SHARDA
PIXEL SC,FERTITECH,TOPAGRO
PIXEL SC,FERTITECH,TOPAGRO BIOSCIENCE
PRODIGE,FERTITECH,SHARDA CROPCHEM LIMITED INDE
PYRAMIDE,FERTITECH,SHARDA CROPCHEM
PYRIFOS,FERTITECH,SHARDA
R EMAX EC,FERTITECH,SHARDA CROPCHEM INDE
RIVAGE,FERTITECH,SHARDA CROPCHEM LIMITED INDE
SPYRITE SC,FERTITECH,SHARDA CROPCHEM LIMITED INDE
nan,FERTITECH,TOPAGRO BIOSCIENCE
HERBISTAR WDG,Fertitech,SHARDA
HERBISTAR WDG,Fertitech,SHARDA CROPCHEM
MAGIC EC,Fertitech,HANGZHOU TOPAGRO
MAGIC EC,Fertitech,HANGZHOU TOPAGRO BIOSCIENCE
COLOSSAL,HALAB TUNISIE,JSC AUGUST INC
COLOSSALSous,HALAB TUNISIE,AVGUST CROP
COLOSSALSous réserve de changement de DC,HALAB TUNISIE,AVGUST CROP CORPORATION
RAYOK,HALAB TUNISIE,JSC AUGUST INC
LastFly Ceratitis,HORTIMED,"QUIMICAS MERISTEM S,L"
P h a r o n,I N N O V A,N U F A R M S . A
G o a l Oxistar 24% Clenofen 240,I N N O V A SOCOOPEC SANABEL AGRO,DOW AGROSCIENCES ZHEJIANG E-TONG CHEMICAL CO LTD ZHEJIANG E-TONG CHEMICAL CO LTD
DC,IMPEX,nan
nan,IMPEX,nan
Champ Flo,INNOVA,NUFARM
DURSBAN 5G (NouvelleD.C de LORSBAN 5G),INNOVA,Dow Agrosciences
Derby,INNOVA,DOW AGROSCIENCES
FENGIB EC,INNOVA,SIPCAM INAGRA S.A
FENGIB EC,INNOVA,Agrumes: Régulateur de croissance :100 cc/hl ;-Répéter le traitement 10j après le premier(COMM23/04/2019)
FENGIB EC,INNOVA,nan
FOBECI,INNOVA,SIPCAM INAGRA
Galben M,INNOVA,FMC
Icaro,INNOVA,SIPCAM INAGRA
Lontrel,INNOVA,DOW AGROSCIENCE
M i t a c i d,INNOVA,SIPCAM INAGRA
M i t a cid,INNOVA,SIPCAM INAGRA (ancient fabricant: NIHON NOHYAKU Co. Ltd)
Mamba Max,INNOVA,DOW AGROSCIENCE
Mitacid,INNOVA,nan
POINTER100 CS,INNOVA,SIPCAM INAGRA
PUGIL LA,INNOVA,SIPCAM INAGRA
Pride 200,INNOVA,GOWAN Espagne
Reldan 40 EC,INNOVA,DOW AGROSCIENCES
Runner,INNOVA,DOW AGROSCIENCES
SABITHANE GOLD,INNOVA,DOW AGROSCIENCES
Terbuzine 75 WG,INNOVA,SIPCAM INAGRA
Sanhormone Dicopur 720 SL Sanaphen D 720 SL Chardol 720 SL,INNOVA AGRIPROTEC ATLAS AGRICOLE BIOPROTECTION,DOW AGROSCIENCES NUFARM DOW AGROSCIENCES NUFARM
Gallant Super Verdict,INNOVA ATLAS AGRICOLE,DOW AGROSCIENCES
Mustang 306 SE Nikos 306 SE,INNOVA ATLAS AGRICOLE,DOW AGROSCIENCES DOW AGROSCIENCES
T r a c e r 2 4 0 S C LASER 240 SC,INNOVA ATLAS AGRICOLE,DOW AGROSCIENCE DOW AGROSCIENCE
cess APPAT Spintor,INNOVA ATLAS AGRICOLE,DOW AGROSCIENCE DOW AGROSCIENCE
Oïkos EC Fortune AZA,INNOVA EL KHADRA,NUFARM AFRASA
Oïkos EC Azar Fortune AZA,INNOVA ETS MEZGHANI EL KHADRA,NUFARM IND.QUIMICA KEY AFRASA
A k o p r i d e,J a d w a A g r o t e c,AAKO BV
Electis 75 WG,JADWA AGROTEC,GOWAN CIS
Kestrel 240 EC,JADWA AGROTEC,BAYER CROPSCIENCE
Kestrel 240 SC,JADWA AGROTEC,BAYER
Kestrel 240 SC,JADWA AGROTEC,BAYER CROPSCIENCE
M E C T I N E P R O,JADWA AGROTEC,AAKO BV
Promess,JADWA AGROTEC,ARYSTA Life Science
Promess,JADWA AGROTEC,ARYSTA Life Science Benelux / Belgique/arystalifescience
Promess,JADWA AGROTEC,ARYSTA Life Science Benelux / Belgique/arystalifescience/ UPL
Puma Evolution,JADWA AGROTEC,BAYER CROPSCIENCE
Puma Evolution,JADWA AGROTEC,BAYER
Sherpa,JADWA AGROTEC,CMPA
Tilmor 240 EC,JADWA AGROTEC,BAYER CROPSCIENCE
G l y p h o m a x,L I E N A G R I C O L E,S h a r d a W o r ld W i d e
G l y p h o m a x,L I E N A G R I C O L E,S h a r d a W o r l d W i d e
G l y p h o m a x,L I E N A G R I C O L E,S h a r d a W o rld Wide
G l y p h o m a x,L I E N A G R I C O L E,S h a r d a W o r l d Wide
G l y p h o m a x,L I E N A G R I C O L E,S H A R D A CROPCHEM LIMITED INDE
APRODONE,LIEN AGRICOLE,SHARDA
BENTAPROTEKT,LIEN AGRICOLE,ANHUI
BENTAPROTEKT SL,LIEN AGRICOLE,ANHUI
CLETOPROTEKT,LIEN AGRICOLE,Zhejiang tide
CLETOPROTEKT,LIEN AGRICOLE,nan
CLETOPROTEKT,LIEN AGRICOLE,Zhejiang
CUPROCAFFAR O WP,LIEN AGRICOLE,ISAGRO SPA/GOWAN
Vapormate,Linde Gas Tunisie,Linde Group
Vapormate,Linde Gas Tunisie,nan
GALLUP SUPER SL,MULTAGRI,Braclay chemicals
GLYFAST 450 SL,MULTAGRI,Braclay chemicals
Numectin,MULTAGRI,NUFARM
100,N,nan
80,N,nan
Novibiotec 7996,N B T A,N B T A
CAP-TOP,NEGANOR,NANJIG(JIANGSU
CAP-VAUNT SC,NEGANOR,Jingbo agrochemicals
CAP-VAUNT SC,NEGANOR,Jingbo agrochemicals technologie
CAPILAN SL,NEGANOR,AGROW ALLIED
Cymbal 45,NEGANOR,BELCHIM CROP
Cymbal 45,NEGANOR,BELCHIM CROP PROTECTION
Cymbal 45,NEGANOR,BELCHIM CROP PROTECTION/CERITIS BELCHIM NV
FUDAN GOLD 44,NEGANOR,AGRIA
FULL TOP SC,NEGANOR,JIANGYIN SULI
H ALT WP,NEGANOR,BIOSTADT INDE
Katanga Triple WP,NEGANOR,PROPLAN
Katanga Triple WP,NEGANOR,PROPLAN/QUMETICA AGRICULTURAL SOLUTIONS SPAIN SLU
LIBERO,NEGANOR,Jingbo agrochemicals
MYCLO EC,NEGANOR,indofil industries
MYCLO EC,NEGANOR,indofil industries limited
Mevaxil Cuivre,NEGANOR,IQV DEL VALLES
Mevaxil Cuivre WP,NEGANOR,IQV DEL VALLES
Micro-cap,NEGANOR,AGROW ALLIED
OLEO CA P EC,NEGANOR,LAINCO
OLEO CAP EC,NEGANOR,LAINCO
OMIX DUO 450,NEGANOR,Agria
OMIX DUO 450 S C,NEGANOR,Agria
OMIX DUO 450 SC,NEGANOR,Agria
OXAL SC,NEGANOR,Jingboagrochemica ls technologie
PLANT OLEO EC,NEGANOR,LAINCO
POMCORE WP,NEGANOR,AGROW ALLIED
POMOCORE WP,NEGANOR,AGROW ALLIED
PROMAN,NEGANOR,belchim crop
PROMAN,NEGANOR,belchim crop protection
PROMAN,NEGANOR,BELCHIM CROP PROTECTION/CE RITIS BELCHIM NV
PROXYG OLD EC,NEGANOR,LAINCO SA
PROXYGOLD EC,NEGANOR,LAINCO SA
Tanrek 500 SC,NEGANOR,AUGUST JSC
V IRTUOZ WG,NEGANOR,nan
VALIS M,NEGANOR,BELCHIM CROP
VERIN EC,NEGANOR,LAINCO
Valtonex flow SC,NEGANOR,IQV
Valtonexflow SC,NEGANOR,IQV
ZENER75 WDG,NEGANOR,Agria
nan,NEGANOR,IQV DEL VALLES
omix 607 SL,NEGANOR,Agria
ACEGOALXTRA WG,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD CHINE
FLEXINE SC,NEGANOR FFT,HEBEI VEYONG
FLOPUS WG,NEGANOR FFT,NANJING(D)SHA ANXI HENGTIAN BIOLOGICAL Agriculture(fab)
FLOWPRID WG,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
GLYPHO-CAP,NEGANOR FFT,HOCKLEY INTERNATIONAL LIMITED
GLYPHO-CAP,NEGANOR FFT,HOCKLEY
GLYPHO-CAP,NEGANOR FFT,HOCKLEY INTERNATION AL LIMITED
GLYPHO-CAP,NEGANOR FFT,nan
KORTEX,NEGANOR FFT,SHANDONG
KORTEX,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
MEVAXIL F,NEGANOR FFT,IQV
MITOVER SC,NEGANOR FFT,SHANDONG WEIFANG RAINBOW
PLATINUM SC,NEGANOR FFT,HEBEI VEYONG
PLIGO ZC,NEGANOR FFT,nan
PLIGO ZC,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
RAINZONE EC,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD CHINE
ROMERAL,NEGANOR FFT,PROPLAN/QUMETICA
SMECTO SC,NEGANOR FFT,nan
TRIFLOS,NEGANOR FFT,JSC(AVGUST)
ULTIMA SC,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
ISCA LURE,NUTRIPLANT,ISCA
ISCA LURE CAROB MOTH,NUTRIPLANT,ISCA TECHNOLOGIES
ISCA LURE CAROB MOTH,NUTRIPLANT,nan
MOSKISAN TRAP (PIEGES) « KILLDISC + BIOLURE »,NUTRIPLANT,KOPPERT
MYCOTAL WG,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEM
MYCOTAL WG,NUTRIPLANT,KOPPERT BIOLOGICAL
MYCOTAL WG,NUTRIPLANT,nan
Magnet Med,NUTRIPLANT,KOPPERT
Magnet Med,NUTRIPLANT,Agrumes :Cératites: 50 pièges/ha. Pêcher de saison : Ceratite : Piégeage de masse en lutte intégrée : 70 pièges/ha
NOPATH EW,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEM
NOPATH EW,NUTRIPLANT,KOPPERT
PHERODIS,NUTRIPLANT,KOPPERT
PHERODIS Tuta,NUTRIPLANT,KOPPERT
PHERODIS Tuta absoluta,NUTRIPLANT,KOPPERT
Pherosan Ceratitis,NUTRIPLANT,SANSAN PRODESING/
Pherosan Ceratitis,NUTRIPLANT,SANSAN
PherosanCeratitis,NUTRIPLANT,SANSAN PRODESING/
SPLAT-EC-O;sous,NUTRIPLANT,ISCA
SPLAT-EC-O;sous réserve de bien préciser la dose par pied (arbre),NUTRIPLANT,ISCA TECHNOLOGIES
SPLAT-EC-O;sous réserve de bien préciser la dose par pied (arbre),NUTRIPLANT,nan
Trianum –P,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEMS
Trianum –P,NUTRIPLANT,KOPPERT
Trianum –P,NUTRIPLANT,nan
X-PAND SL,NUTRIPLANT,STOLLER EUROPE
nan,NUTRIPLANT,SANSAN PRODESING/
nan,NUTRIPLANT,STOLLER EUROPE
SPLAT-EC-O,NUTRIPLANT /,ISCA TECHNOLOGIES
B u g g y,P R O M O C H I M I E,S I P C A M I N G A R A
B u g g y,P R O M O C H I M I E,S I P C A M INGARA
B u g g y,P R O M O C H I M I E,S I P C A M I N G ARA
B u g g y,P R O M O C H I M I E,S I P C A M I N GARA
C o n f i d o r,P R O M O C H I M I E,BAYER CROPSCIENCE
C o n f i d o r Spector SL Duloc Bazooka Nuprid Protador Erazer Akopride,P R O M O C H I M I E ATLAS AGRICOLE AGRIPROTEC AGROSYSTEMES BIOPROTECTION PROTAGRI AMINCO Jadwa Agrotec,BAYER CROPSCIENCE BAYER CROPSCIENCE PROPLAN GLOBACHEM NUFARM SA United Phosphous Ltd GLOBACHEM AAKO BV
D i s s,P R O T A G R I,U N I T E D
D i s s,P R O T A G R I,U N I T E D PHOSPHORUS
P r o t a d o r,P R O T A G R I,United Phosphous Ltd
AKTIV SL,PHYTAGRI,chemicals(R&D) Ltd.
ME,PHYTAGRI,nan
SC,PHYTAGRI,INDUSTRIES
nan,PHYTAGRI,nan
ABAROLE SC,PLANETE VERTE,nan
ABAROLE SC,PLANETE VERTE,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD
LATHRIN EC,PLANETE VERTE,nan
P Otegon 20 SP,PLANETE VERTE,ASTRANOVA
P ROFAST EC,PLANETE VERTE,ASTRACHEM/AS
POtegon 20 SP,PLANETE VERTE,ASTRANOVA
PROFAST EC,PLANETE VERTE,ASTRACHEM
PROXYSAFE EC,PLANETE VERTE,nan
R HAMSES 20 WP,PLANETE VERTE,ASTRANOVA
S TIN 80 WP,PLANETE VERTE,ASTRANOVA
SPINOR 480 SC,PLANETE VERTE,nan
nan,PLUS,rainbow chemical
A n t r a c o l Combi,PROMOCHIMIE,BAYER CROPSCIENCE
A n t r a col,PROMOCHIMIE,BAYER
A ntracol,PROMOCHIMIE,BAYER CROPSCIENCE
AGROIL BLEU EC,PROMOCHIMIE,SIPCAM INAGRA
ARAW CS,PROMOCHIMIE,SIPCAM
Alion 500 SC,PROMOCHIMIE,BAYER
B a y f i d a n 3 1 2 S C,PROMOCHIMIE,BAYER AG.
BROADSTRIKE WG,PROMOCHIMIE,DOW AGROSCIENCE
Bolido 240 SC,PROMOCHIMIE,BAYER
Bolido 240 SC,PROMOCHIMIE,BAYER CROPSCIENCE/G OWAN
CASSIOPEE WG,PROMOCHIMIE,BAYER AG
COREGIS SC,PROMOCHIMIE,DU PONT/FMC
Calypso,PROMOCHIMIE,BAYER CROPSCIENCE
Confidor 200 OD,PROMOCHIMIE,BAYER CROPSCIENCE
Corail,PROMOCHIMIE,BAYER CROPSCIENCE
Corail,PROMOCHIMIE,BAYER
Flint,PROMOCHIMIE,BAYER CROPSCIENCE
H o r i z on 250 EW,PROMOCHIMIE,BAYER
Horizon 250 EW,PROMOCHIMIE,BAYER CROPSCIENCE
K RISANT EC,PROMOCHIMIE,SIPCAM INGRA ESPAGNE
M o n ceren,PROMOCHIMIE,BAYER
MATENO STAR 570 SC,PROMOCHIMIE,BAYER CROPSCIENCE
"Melody Duo 66,8 WP",PROMOCHIMIE,BAYER CROPSCIENCE
Microsol,PROMOCHIMIE,SIPCAM QUIMAGRO
Monceren,PROMOCHIMIE,BAYER CROPSCIENCE
Monceren,PROMOCHIMIE,nan
N e m a c u r 1 0 G,PROMOCHIMIE,AMVAC Chemical
N e m a c u r 10 G,PROMOCHIMIE,AMVAC Chemical Corporation)
N e m a c ur 10 G,PROMOCHIMIE,AMVAC Chemical Corporation
N e macur 10 G,PROMOCHIMIE,AMVAC Chemical
Prosaro 250 EC,PROMOCHIMIE,BAYER CROPSCIENCE
Prosaro 250 EC,PROMOCHIMIE,BAYER
Proteus 170 OD,PROMOCHIMIE,BAYER CROPSCIENCE
REVINTY 5 EW,PROMOCHIMIE,JIANGXI ZHENGBANG CHINE
REVINTY 5 EW,PROMOCHIMIE,JIANGXI ZHENGBANG CHINE/NANJING
Runner,PROMOCHIMIE,DOW AGROSCIENCES
S t a r n e t 7 0 WG,PROMOCHIMIE,BAYER
S t a r net 70 WG,PROMOCHIMIE,BAYER CROPSCIENCE
SABITHANE GOLD,PROMOCHIMIE,DOW
SKYWAY XPRO EC,PROMOCHIMIE,BAYER AG
Sencor 600SC,PROMOCHIMIE,BAYER CROPSCIENCE
Sencor 600SC,PROMOCHIMIE,BAYER
Sencor 600SC,PROMOCHIMIE,nan
TRIKA EXPERT GR,PROMOCHIMIE,SIPCAM INAGRA
Teldor,PROMOCHIMIE,BAYER CROPSCIENCE
Teldor,PROMOCHIMIE,BAYER
ULTOR 33 SC,PROMOCHIMIE,Shaanxi hengtian biological agriculture/chine
Vigon 420 SC,PROMOCHIMIE,BAYER
Vigon 420 SC,PROMOCHIMIE,BAYER CROPSCIENCE
Sencor 70 Matecor,PROMOCHIMIE AGRIPROTEC,BAYER CROPSCIENCE PROPLAN
H orizon 250 EW Tebucur Teson King 250 EW,PROMOCHIMIE AGROSYSTEMES AMINCO SOCOOPEC,BAYER CROPSCIENCE GLOBACHEM GLOBACHEM SHARDA
Bolido 240 SC Envidor,PROMOCHIMIE STEC,BAYER CROPSCIENCE BAYER CROPSCIENCE
A f f i x 2 5 0 S C,PROTAGRI,UNITED PHOSPHORUS
A f f i x 2 5 0 S C,PROTAGRI,UPL
AMISCORE SC,PROTAGRI,NANJING
AMISCORE SC,PROTAGRI,NANJING AGROCHEMICAL
Agrizeb,PROTAGRI,United Phosphorus Ltd
BENHUR SL,PROTAGRI,NANJING AGROCHEMICA L
CHLORPIRATE,PROTAGRI,NANAJING
CIVIC WG,PROTAGRI,NANJING AGROCHEMICAL
COUGAR SC,PROTAGRI,UPL LIMITED
CYRUX,PROTAGRI,UPL
DANCOR 70,PROTAGRI,UPL
DEPOT SL,PROTAGRI,MODERN
DEPOT SL,PROTAGRI,MODERN INSECTICIDES LIMITED
F r u i t h r i n e,PROTAGRI,United Phosphorus Ltd
Fruithrine,PROTAGRI,United Phosphorus Ltd
Insuf,PROTAGRI,UNITED
Insuf,PROTAGRI,UNITED PHOSPHORUS
L YNO EC,PROTAGRI,NANJING CHINE(dis)/jiangs u (fab)
LIFELINE SL,PROTAGRI,UPL
MISKY SC,PROTAGRI,NANJING CHINE
Magnaphos,PROTAGRI,UNITED PHOSPHORUS
Magnaphos,PROTAGRI,UNITED PHOSPHORUS LTD
Metapro,PROTAGRI,United Phosphorus
Metapro,PROTAGRI,nan
Metsy WG,PROTAGRI,UNITED PHOSPHORUS
Metsy WG,PROTAGRI,UNITED
Metsy WG,PROTAGRI,nan
NEO STOP,PROTAGRI,AGRIPHAR
Neostop 500 HN,PROTAGRI,AGRIPHAR
Novicure,PROTAGRI,UPL
P OTER,PROTAGRI,NANJING AGROCHEMICA L
POTER,PROTAGRI,NANJING AGROCHEMICA L
PROGREEN,PROTAGRI,UPL
PROPLANT,PROTAGRI,ARYSTA Life Science Benelux / Belgique
Proplant,PROTAGRI,ARYSTA Life Science
Proplant,PROTAGRI,ARYSTA Life Science Benelux / Belgique
Protagibb,PROTAGRI,United Phosphorus
Pulsar,PROTAGRI,United Phosphous Ltd
Quickphlo-R,PROTAGRI,UNITED PHOSPHORUS LTD
Quickphlo-R,PROTAGRI,UNITED PHOSPHORUS
Quickphos,PROTAGRI,UNITED PHOSPHORUS
Quickphos,PROTAGRI,nan
Renova,PROTAGRI,United Phosphorus Ltd
SUCCESS SC,PROTAGRI,NANJING AGROHEMICAL CHINE
Syllit 400 SC,PROTAGRI,ARYSTA Life Science
Syllit 400 SC,PROTAGRI,ARYSTA Life Science Benelux / Belgique/UPL
T h i o m i l,PROTAGRI,MEGHMANI
TITONIC SC,PROTAGRI,NANJING
Unilax,PROTAGRI,UNITED
Syllit 400 SC Efluzin 400 SC,PROTAGRI SEPCM,AGRIPHAR AGRIPHAR
BRAI EC,RA2YEN PHYTAGRI,LAINCO SA
AVOCA,RAYEN,Barclay
B U T I K E W,RAYEN,LAINCO-Espagne
BRAI EC,RAYEN,LAINCO SA
CADDY SC,RAYEN,BARCLAY
CAMARO COMBI,RAYEN,PARIJAT
CLUSTER,RAYEN,DIACHEM S.P.A
CU MAX,RAYEN,DIACHEM S.P.A
Camaro430SC,RAYEN,SHARDA
Cayen 500 WG,RAYEN,SHARDA
DENIM,RAYEN,Sharda cropchem
DIASTAR MAXI GR,RAYEN,DIACHEM
Dextra 25 EC,RAYEN,TAGROS CHEMICALS
Flutri 125 SC,RAYEN,SHARDA
G ENERAL SC,RAYEN,nan
GALLUP HI-,RAYEN,Barclay
GENERAL SC,RAYEN,PARIJAT INDUSTR.
KATALON,RAYEN,INDOFIL
LIMOCIDE ULTRA,RAYEN,VIVAGRO
MANCOFLASH,RAYEN,INDOFIL
MAXIMUS 80WP,RAYEN,INDOFIL
O r o t u n,RAYEN,ORO AGRI
Orotun,RAYEN,ORO AGRI
AVOCA,RAYEN AGRICOLE,Barclay chemicals(R&D) Ltd.
AVOCA,RAYEN PHYTAGRI,Barclay chemoicals Ltd
BRAI EC,RAYEN PHYTAGRI,LAINCO SA
CADDY SC,RAYEN PHYTAGRI,BARCLAY CHEMICALS Ltd
CAMARO COMBI,RAYEN PHYTAGRI,PARIJAT INDUSTRIES
CLUSTER,RAYEN PHYTAGRI,DIACHEM S.P.A
CU MAX,RAYEN PHYTAGRI,DIACHEM S.P.A
Camaro430SC,RAYEN PHYTAGRI,SHARDA
Cayen 500 WG,RAYEN PHYTAGRI,SHARDA
D EXTRA 100 EC,RAYEN PHYTAGRI,TRAGOS CHEMICOLS /INDE
DENIM,RAYEN PHYTAGRI,Sharda cropchem
DIASTAR MAXI GR,RAYEN PHYTAGRI,DIACHEM
Dextra 25 EC,RAYEN PHYTAGRI,TAGROS CHEMICALS
Flutri 125 SC,RAYEN PHYTAGRI,SHARDA
GALLUP HI-AKTIV,RAYEN PHYTAGRI,Barclay chemoicals(R&D) Ltd.
GALLUP HI-AKTIV SL,RAYEN PHYTAGRI,Barclay chemicals(R&D) Ltd.
GENERAL SC,RAYEN PHYTAGRI,PARIJAT INDUSTR.
KATALON,RAYEN PHYTAGRI,INDOFIL
L AITANE SC,RAYEN PHYTAGRI,"LAINCO ,S,A/ESPAGNE"
LAITANE SC,RAYEN PHYTAGRI,"LAINCO ,S,A/ESPAGNE"
LIMOCIDE ULTRA ME,RAYEN PHYTAGRI,VIVAGRO
MANCOFLASH,RAYEN PHYTAGRI,INDOFIL
O r o t u n,RAYEN PHYTAGRI,ORO AGRI
Orotun,RAYEN PHYTAGRI,ORO AGRI
